65, 64, 60, 64, 70, 65, 71, 65, 66, 68, 68, 68, 68, 69, 68, 69, 72, 65, 64, 68, 63, 
59, 61, 64, 67, 68, 60, 72, 72, 64, 70, 66, 67, 68, 67, 69, 64, 62, 60, 65, 70, 70, 
61, 58, 73, 63, 70, 66, 70, 75, 72, 69, 71, 65, 69, 65, 70, 67, 68, 66, 66, 72, 74, 
131, 145, 153, 145, 148, 135, 136, 142, 147, 159, 153, 151, 154, 148, 149, 145, 151, 139, 144, 147, 155, 
78, 85, 85, 84, 90, 76, 85, 83, 88, 88, 89, 87, 92, 90, 87, 97, 91, 83, 86, 89, 90, 
79, 84, 85, 82, 83, 80, 85, 88, 87, 84, 91, 89, 91, 90, 90, 86, 86, 75, 93, 89, 89, 
68, 74, 77, 73, 78, 70, 80, 79, 75, 75, 80, 75, 81, 79, 79, 80, 80, 70, 80, 82, 75, 
70, 76, 78, 77, 76, 67, 77, 80, 76, 81, 79, 76, 78, 76, 78, 83, 80, 74, 73, 74, 72, 
63, 69, 72, 70, 66, 62, 73, 69, 73, 72, 71, 75, 72, 73, 71, 71, 76, 72, 74, 77, 73, 
63, 67, 74, 74, 73, 66, 75, 69, 70, 71, 71, 74, 76, 75, 68, 75, 68, 67, 69, 72, 72, 
67, 68, 68, 70, 68, 66, 67, 72, 74, 78, 75, 73, 74, 69, 70, 73, 76, 59, 77, 77, 72, 
66, 71, 69, 67, 69, 64, 77, 74, 72, 72, 72, 72, 72, 69, 69, 75, 74, 72, 73, 74, 70, 
63, 66, 70, 70, 72, 67, 72, 73, 77, 75, 76, 66, 73, 78, 75, 79, 75, 70, 74, 75, 71, 
55, 64, 69, 63, 70, 64, 63, 64, 67, 68, 73, 69, 67, 61, 57, 66, 65, 56, 73, 65, 66, 
57, 63, 64, 62, 61, 58, 71, 64, 63, 65, 67, 70, 68, 68, 72, 69, 73, 56, 68, 59, 67, 
65, 66, 66, 62, 66, 55, 71, 73, 69, 69, 71, 70, 64, 65, 62, 68, 70, 65, 66, 69, 67, 
56, 66, 77, 69, 67, 54, 66, 63, 67, 68, 65, 66, 69, 66, 69, 68, 71, 64, 58, 64, 68, 
64, 69, 71, 71, 72, 69, 71, 66, 68, 65, 74, 73, 72, 70, 69, 58, 72, 54, 56, 60, 68, 
57, 63, 64, 59, 66, 59, 63, 66, 63, 64, 63, 67, 76, 70, 66, 65, 66, 58, 71, 64, 68, 
61, 64, 68, 71, 65, 61, 66, 68, 68, 72, 68, 67, 74, 63, 70, 73, 66, 65, 60, 69, 65, 
55, 64, 67, 59, 65, 65, 73, 73, 68, 68, 70, 69, 68, 68, 70, 72, 76, 64, 74, 73, 70, 
59, 67, 75, 70, 63, 59, 77, 74, 70, 68, 65, 61, 62, 67, 68, 72, 68, 65, 65, 64, 76, 
57, 71, 61, 57, 61, 68, 73, 70, 63, 77, 74, 70, 71, 65, 76, 75, 66, 64, 69, 62, 70, 
57, 61, 63, 62, 67, 61, 80, 76, 72, 66, 69, 64, 69, 70, 63, 69, 65, 64, 70, 77, 73, 
62, 66, 69, 67, 66, 59, 66, 67, 65, 67, 70, 74, 71, 74, 64, 71, 69, 65, 72, 73, 70, 
60, 61, 65, 71, 70, 59, 71, 73, 67, 71, 62, 67, 74, 69, 67, 71, 70, 61, 67, 62, 66, 
57, 63, 63, 62, 68, 58, 68, 64, 67, 73, 69, 64, 65, 64, 69, 66, 71, 64, 58, 66, 72, 
59, 62, 68, 64, 68, 60, 76, 67, 70, 62, 65, 64, 74, 67, 70, 69, 65, 65, 70, 72, 74, 
67, 64, 69, 68, 66, 59, 74, 70, 64, 70, 66, 68, 67, 59, 74, 71, 70, 63, 71, 68, 65, 
65, 67, 73, 67, 69, 68, 76, 67, 70, 67, 75, 68, 66, 65, 66, 66, 71, 56, 67, 68, 58, 
62, 69, 71, 65, 71, 59, 61, 62, 64, 67, 71, 70, 71, 76, 71, 64, 61, 58, 66, 72, 69, 
62, 67, 66, 60, 64, 63, 69, 72, 69, 69, 69, 67, 67, 64, 66, 68, 70, 57, 66, 70, 64, 
64, 66, 66, 67, 64, 60, 63, 69, 66, 64, 65, 68, 70, 65, 72, 65, 67, 63, 69, 70, 74, 
63, 68, 66, 63, 62, 49, 72, 72, 68, 59, 70, 66, 69, 66, 63, 66, 72, 65, 68, 64, 66, 
66, 68, 68, 63, 66, 52, 66, 64, 65, 69, 68, 67, 71, 74, 71, 72, 71, 64, 64, 69, 72, 
56, 57, 66, 68, 67, 64, 65, 67, 71, 73, 72, 66, 71, 71, 70, 74, 72, 66, 61, 70, 67, 
64, 65, 67, 64, 58, 54, 75, 70, 65, 72, 70, 77, 75, 69, 72, 72, 70, 58, 64, 69, 70, 
62, 64, 66, 64, 63, 51, 77, 73, 68, 67, 63, 61, 65, 63, 72, 69, 75, 63, 73, 70, 72, 
64, 69, 65, 62, 63, 70, 73, 69, 70, 69, 68, 72, 70, 67, 64, 67, 66, 57, 68, 69, 71, 
60, 64, 65, 60, 62, 59, 69, 73, 66, 66, 67, 67, 72, 72, 74, 68, 68, 61, 75, 73, 67, 
56, 62, 60, 66, 68, 63, 72, 68, 70, 71, 68, 70, 68, 67, 67, 70, 66, 61, 64, 64, 67, 
66, 64, 65, 65, 61, 61, 69, 66, 70, 71, 71, 72, 71, 72, 60, 69, 68, 59, 73, 71, 69, 
57, 64, 68, 64, 67, 69, 71, 71, 71, 60, 73, 68, 77, 73, 66, 69, 67, 64, 68, 68, 66, 
57, 69, 72, 61, 69, 60, 63, 65, 60, 71, 71, 64, 66, 65, 80, 71, 73, 55, 68, 65, 61, 
60, 67, 69, 62, 60, 60, 72, 70, 68, 68, 69, 71, 72, 75, 72, 70, 71, 60, 61, 61, 69, 
61, 63, 66, 60, 71, 60, 71, 68, 70, 76, 64, 72, 67, 66, 65, 66, 66, 60, 71, 69, 74, 
58, 66, 73, 71, 75, 59, 73, 73, 68, 64, 60, 66, 75, 70, 71, 75, 74, 57, 67, 64, 63, 
52, 59, 66, 61, 70, 65, 75, 70, 67, 69, 74, 70, 70, 67, 73, 71, 71, 65, 68, 70, 74, 
63, 68, 69, 65, 66, 62, 68, 71, 67, 68, 72, 70, 73, 71, 66, 73, 66, 71, 70, 62, 64, 
65, 64, 68, 57, 61, 59, 67, 62, 62, 73, 71, 70, 74, 74, 70, 69, 71, 62, 70, 70, 69, 
62, 65, 68, 66, 60, 63, 67, 71, 70, 66, 75, 72, 73, 75, 73, 71, 69, 63, 61, 63, 71, 
53, 70, 60, 58, 54, 56, 75, 70, 64, 69, 67, 62, 61, 55, 65, 66, 66, 58, 66, 63, 74, 
65, 68, 62, 58, 71, 65, 68, 76, 72, 70, 69, 63, 68, 62, 69, 69, 64, 52, 74, 64, 69, 
65, 64, 64, 65, 68, 63, 70, 69, 67, 67, 69, 70, 69, 71, 69, 64, 70, 62, 67, 67, 69, 
64, 66, 66, 64, 68, 60, 63, 68, 64, 68, 67, 68, 70, 69, 68, 71, 66, 49, 68, 64, 63, 
49, 62, 64, 60, 72, 69, 59, 69, 68, 64, 73, 67, 75, 67, 69, 68, 69, 64, 64, 69, 66, 
61, 61, 72, 63, 68, 56, 66, 64, 69, 73, 72, 68, 67, 66, 64, 69, 70, 59, 72, 69, 71, 
53, 57, 68, 68, 69, 60, 69, 69, 67, 65, 57, 63, 77, 71, 71, 69, 69, 62, 63, 69, 71, 
56, 67, 67, 61, 65, 56, 67, 63, 63, 70, 63, 65, 70, 64, 68, 72, 78, 59, 70, 74, 72, 
57, 67, 70, 70, 66, 64, 68, 68, 66, 72, 67, 69, 70, 66, 66, 70, 74, 55, 69, 69, 66, 
55, 60, 64, 63, 64, 61, 71, 73, 76, 75, 72, 66, 67, 64, 68, 63, 59, 58, 62, 66, 65, 
66, 63, 59, 58, 62, 65, 66, 72, 72, 71, 71, 69, 72, 64, 67, 67, 70, 62, 69, 63, 69, 
66, 65, 66, 68, 63, 58, 63, 63, 67, 68, 71, 60, 70, 65, 65, 74, 71, 63, 68, 72, 64, 
67, 65, 68, 66, 61, 64, 68, 65, 66, 70, 70, 70, 69, 67, 69, 68, 67, 64, 64, 67, 72, 
62, 66, 72, 63, 66, 66, 69, 66, 62, 69, 67, 71, 71, 65, 73, 69, 68, 67, 65, 71, 69, 
58, 66, 73, 69, 71, 66, 72, 69, 66, 70, 68, 69, 69, 65, 72, 69, 72, 56, 67, 66, 71, 
57, 67, 68, 60, 66, 60, 67, 70, 65, 66, 72, 69, 77, 75, 75, 71, 69, 57, 68, 74, 68, 
57, 67, 72, 71, 74, 65, 70, 67, 64, 60, 67, 65, 72, 60, 72, 73, 74, 68, 72, 64, 68, 
63, 67, 66, 63, 70, 67, 76, 70, 71, 71, 63, 63, 65, 65, 61, 66, 66, 63, 66, 69, 67, 
63, 71, 68, 55, 66, 58, 68, 68, 62, 66, 69, 69, 72, 68, 68, 75, 73, 70, 73, 73, 68, 
68, 68, 70, 78, 80, 72, 72, 69, 68, 62, 64, 63, 63, 66, 69, 72, 73, 53, 54, 72, 67, 
53, 67, 60, 70, 72, 65, 65, 64, 61, 70, 76, 73, 75, 67, 64, 65, 67, 58, 62, 71, 68, 
66, 66, 69, 64, 72, 65, 63, 64, 64, 70, 69, 66, 70, 67, 71, 75, 70, 58, 60, 68, 72, 
53, 66, 66, 62, 60, 59, 75, 67, 66, 63, 70, 70, 71, 64, 71, 75, 75, 59, 60, 70, 66, 
61, 72, 76, 65, 72, 59, 69, 69, 70, 69, 70, 67, 71, 70, 74, 70, 68, 58, 61, 66, 74, 
64, 71, 68, 65, 67, 60, 69, 66, 67, 67, 66, 67, 68, 66, 75, 72, 75, 66, 67, 70, 62, 
56, 62, 66, 65, 65, 56, 67, 73, 67, 62, 71, 67, 75, 71, 70, 69, 71, 59, 66, 68, 63, 
63, 69, 70, 62, 68, 64, 70, 69, 68, 67, 64, 66, 66, 71, 74, 71, 71, 66, 74, 70, 67, 
59, 67, 59, 61, 69, 64, 73, 69, 71, 71, 69, 71, 71, 71, 71, 68, 73, 64, 76, 74, 68, 
